[front_panel]
mode=T1 - R1
output=10 dB
gain=15 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Distance | Gap | Interval [µs]	Cepstrum	
0,000E+00	9,384E+02	
8,000E-02	6,313E+02	
1,600E-01	5,117E+02	
2,400E-01	3,972E+02	
3,200E-01	3,012E+02	
4,000E-01	2,390E+02	
4,800E-01	1,353E+02	
5,600E-01	1,099E+02	
6,400E-01	7,631E+01	
7,200E-01	1,015E+02	
8,000E-01	1,062E+02	
8,800E-01	9,724E+01	
9,600E-01	9,044E+01	
1,040E+00	7,525E+01	
1,120E+00	7,031E+01	
1,200E+00	5,185E+01	
1,280E+00	3,123E+01	
1,360E+00	1,416E+01	
1,440E+00	4,821E+00	
1,520E+00	1,350E+01	
1,600E+00	2,379E+01	
1,680E+00	2,875E+01	
1,760E+00	3,910E+01	
1,840E+00	5,516E+01	
1,920E+00	6,883E+01	
2,000E+00	7,574E+01	
2,080E+00	7,601E+01	
2,160E+00	7,259E+01	
2,240E+00	6,986E+01	
2,320E+00	6,507E+01	
2,400E+00	5,623E+01	
2,480E+00	4,388E+01	
2,560E+00	2,838E+01	
2,640E+00	2,331E+01	
2,720E+00	2,445E+01	
2,800E+00	2,270E+01	
2,880E+00	1,983E+01	
2,960E+00	2,159E+01	
3,040E+00	2,634E+01	
3,120E+00	2,280E+01	
3,200E+00	1,694E+01	
3,280E+00	1,157E+01	
3,360E+00	1,231E+01	
3,440E+00	1,153E+01	
3,520E+00	1,201E+01	
3,600E+00	1,168E+01	
3,680E+00	9,467E+00	
3,760E+00	1,016E+01	
3,840E+00	1,221E+01	
3,920E+00	1,598E+01	
4,000E+00	1,678E+01	
4,080E+00	1,354E+01	
4,160E+00	1,084E+01	
4,240E+00	1,380E+01	
4,320E+00	1,670E+01	
4,400E+00	1,771E+01	
4,480E+00	1,621E+01	
4,560E+00	1,637E+01	
4,640E+00	2,054E+01	
4,720E+00	1,999E+01	
4,800E+00	1,579E+01	
4,880E+00	1,021E+01	
4,960E+00	6,953E+00	
5,040E+00	6,505E+00	
5,120E+00	1,087E+01	
5,200E+00	1,598E+01	
5,280E+00	2,143E+01	
5,360E+00	2,369E+01	
5,440E+00	2,346E+01	
5,520E+00	1,860E+01	
5,600E+00	1,579E+01	
5,680E+00	1,803E+01	
5,760E+00	1,763E+01	
5,840E+00	1,313E+01	
5,920E+00	8,532E+00	
6,000E+00	3,257E+00	
6,080E+00	1,500E+00	
6,160E+00	2,903E+00	
6,240E+00	5,882E+00	
6,320E+00	1,382E+01	
6,400E+00	1,703E+01	
6,480E+00	1,917E+01	
6,560E+00	1,881E+01	
6,640E+00	2,168E+01	
6,720E+00	2,632E+01	
6,800E+00	2,869E+01	
6,880E+00	2,715E+01	
6,960E+00	2,357E+01	
7,040E+00	1,726E+01	
7,120E+00	1,141E+01	
7,200E+00	7,527E+00	
7,280E+00	6,345E+00	
7,360E+00	8,521E+00	
7,440E+00	1,527E+01	
7,520E+00	2,052E+01	
7,600E+00	2,160E+01	
7,680E+00	2,096E+01	
7,760E+00	1,716E+01	
7,840E+00	1,924E+01	
7,920E+00	1,308E+01	
8,000E+00	5,119E+00	
8,080E+00	2,520E+00	
8,160E+00	1,874E+01	
8,240E+00	2,094E+01	
8,320E+00	2,287E+01	
8,400E+00	2,310E+01	
8,480E+00	1,194E+01	
8,560E+00	1,140E+01	
8,640E+00	1,107E+01	
8,720E+00	2,176E+01	
8,800E+00	2,079E+01	
8,880E+00	1,936E+01	
8,960E+00	1,800E+01	
9,040E+00	2,437E+01	
9,120E+00	3,453E+01	
9,200E+00	3,042E+01	
9,280E+00	4,418E+01	
9,360E+00	5,264E+01	
9,440E+00	5,851E+01	
9,520E+00	5,851E+01	
9,600E+00	5,582E+01	
9,680E+00	4,702E+01	
9,760E+00	3,676E+01	
9,840E+00	3,034E+01	
9,920E+00	1,965E+01	
1,000E+01	1,006E+01	
1,008E+01	3,559E+00	
1,016E+01	6,047E+00	
1,024E+01	8,249E+00	
1,032E+01	9,301E+00	
1,040E+01	8,546E+00	
1,048E+01	1,324E+01	
1,056E+01	1,928E+01	
1,064E+01	3,334E+01	
1,072E+01	4,498E+01	
1,080E+01	5,394E+01	
1,088E+01	6,825E+01	
1,096E+01	5,858E+01	
1,104E+01	5,611E+01	
1,112E+01	4,951E+01	
1,120E+01	3,239E+01	
1,128E+01	3,910E+01	
1,136E+01	4,816E+01	
1,144E+01	6,185E+01	
1,152E+01	4,948E+01	
1,160E+01	6,064E+01	
1,168E+01	6,114E+01	
1,176E+01	5,789E+01	
1,184E+01	4,745E+01	
1,192E+01	4,364E+01	
1,200E+01	3,599E+01	
1,208E+01	2,558E+01	
1,216E+01	1,707E+01	
1,224E+01	1,518E+01	
1,232E+01	1,535E+01	
1,240E+01	2,031E+01	
1,248E+01	2,530E+01	
1,256E+01	2,578E+01	
1,264E+01	1,739E+01	
1,272E+01	8,062E+00	
1,280E+01	8,788E+00	
1,288E+01	1,520E+01	
1,296E+01	2,293E+01	
1,304E+01	3,338E+01	
1,312E+01	3,673E+01	
1,320E+01	4,882E+01	
1,328E+01	5,527E+01	
1,336E+01	5,963E+01	
1,344E+01	6,241E+01	
1,352E+01	6,164E+01	
1,360E+01	6,018E+01	
1,368E+01	6,185E+01	
1,376E+01	5,415E+01	
1,384E+01	4,840E+01	
1,392E+01	3,653E+01	
1,400E+01	3,445E+01	
1,408E+01	2,454E+01	
1,416E+01	2,912E+01	
1,424E+01	3,121E+01	
1,432E+01	3,501E+01	
1,440E+01	3,613E+01	
1,448E+01	3,850E+01	
1,456E+01	3,476E+01	
1,464E+01	3,645E+01	
1,472E+01	3,660E+01	
1,480E+01	3,587E+01	
1,488E+01	2,894E+01	
1,496E+01	2,601E+01	
1,504E+01	2,110E+01	
1,512E+01	1,656E+01	
1,520E+01	9,561E+00	
1,528E+01	4,852E+00	
1,536E+01	5,671E+00	
1,544E+01	4,987E+00	
1,552E+01	2,409E+00	
1,560E+01	2,207E+00	
1,568E+01	4,466E+00	
1,576E+01	1,920E+00	
1,584E+01	6,828E+00	
1,592E+01	7,403E+00	
1,600E+01	1,209E+01	
1,608E+01	1,153E+01	
1,616E+01	1,140E+01	
1,624E+01	1,195E+01	
1,632E+01	1,085E+01	
1,640E+01	1,406E+01	
1,648E+01	1,781E+01	
1,656E+01	1,544E+01	
1,664E+01	1,731E+01	
1,672E+01	1,455E+01	
1,680E+01	1,147E+01	
1,688E+01	1,266E+01	
1,696E+01	1,254E+01	
1,704E+01	1,188E+01	
1,712E+01	1,726E+01	
1,720E+01	1,150E+01	
1,728E+01	8,510E+00	
1,736E+01	5,327E+00	
1,744E+01	3,486E+00	
1,752E+01	3,115E+00	
1,760E+01	3,838E+00	
1,768E+01	3,509E+00	
1,776E+01	2,833E+00	
1,784E+01	3,476E+00	
1,792E+01	2,788E+00	
1,800E+01	7,919E+00	
1,808E+01	1,090E+01	
1,816E+01	8,645E+00	
1,824E+01	8,375E+00	
1,832E+01	8,255E+00	
1,840E+01	2,495E+00	
1,848E+01	6,663E+00	
1,856E+01	4,159E+00	
1,864E+01	4,500E+00	
1,872E+01	2,627E+00	
1,880E+01	5,947E+00	
1,888E+01	8,302E+00	
1,896E+01	5,652E+00	
1,904E+01	1,198E+01	
1,912E+01	1,344E+01	
1,920E+01	1,422E+01	
1,928E+01	1,490E+01	
1,936E+01	8,010E+00	
1,944E+01	1,166E+01	
1,952E+01	7,121E+00	
1,960E+01	1,074E+01	
1,968E+01	1,365E+01	
1,976E+01	1,441E+01	
1,984E+01	1,591E+01	
1,992E+01	1,714E+01	
2,000E+01	1,441E+01	
2,008E+01	1,391E+01	
2,016E+01	1,232E+01	
2,024E+01	1,532E+01	
2,032E+01	1,865E+01	
2,040E+01	9,077E+00	
2,048E+01	6,978E+00	
2,056E+01	3,918E+00	
