[front_panel]
mode=T1 - R1
output=10 dB
gain=25 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Distance | Gap | Interval [µs]	Cepstrum	
0,000E+00	1,457E+03	
8,000E-02	6,813E+02	
1,600E-01	5,730E+02	
2,400E-01	6,606E+02	
3,200E-01	5,474E+02	
4,000E-01	4,014E+02	
4,800E-01	3,179E+02	
5,600E-01	3,995E+02	
6,400E-01	3,197E+02	
7,200E-01	2,558E+02	
8,000E-01	2,546E+02	
8,800E-01	2,900E+02	
9,600E-01	2,233E+02	
1,040E+00	2,366E+02	
1,120E+00	2,476E+02	
1,200E+00	1,916E+02	
1,280E+00	1,550E+02	
1,360E+00	1,437E+02	
1,440E+00	1,171E+02	
1,520E+00	1,093E+02	
1,600E+00	1,003E+02	
1,680E+00	9,116E+01	
1,760E+00	8,686E+01	
1,840E+00	8,771E+01	
1,920E+00	8,138E+01	
2,000E+00	7,382E+01	
2,080E+00	7,208E+01	
2,160E+00	6,026E+01	
2,240E+00	4,901E+01	
2,320E+00	4,307E+01	
2,400E+00	2,945E+01	
2,480E+00	2,734E+01	
2,560E+00	2,478E+01	
2,640E+00	2,510E+01	
2,720E+00	2,423E+01	
2,800E+00	2,457E+01	
2,880E+00	2,088E+01	
2,960E+00	1,804E+01	
3,040E+00	1,903E+01	
3,120E+00	2,016E+01	
3,200E+00	2,240E+01	
3,280E+00	2,743E+01	
3,360E+00	2,925E+01	
3,440E+00	2,879E+01	
3,520E+00	2,720E+01	
3,600E+00	2,794E+01	
3,680E+00	2,905E+01	
3,760E+00	2,752E+01	
3,840E+00	2,710E+01	
3,920E+00	2,643E+01	
4,000E+00	2,777E+01	
4,080E+00	3,651E+01	
4,160E+00	4,254E+01	
4,240E+00	5,019E+01	
4,320E+00	5,843E+01	
4,400E+00	6,757E+01	
4,480E+00	7,561E+01	
4,560E+00	7,306E+01	
4,640E+00	7,135E+01	
4,720E+00	6,368E+01	
4,800E+00	5,989E+01	
4,880E+00	5,184E+01	
4,960E+00	3,912E+01	
5,040E+00	2,506E+01	
5,120E+00	1,563E+01	
5,200E+00	9,230E+00	
5,280E+00	7,041E+00	
5,360E+00	1,252E+01	
5,440E+00	2,004E+01	
5,520E+00	2,090E+01	
5,600E+00	1,823E+01	
5,680E+00	1,607E+01	
5,760E+00	1,655E+01	
5,840E+00	1,382E+01	
5,920E+00	1,273E+01	
6,000E+00	7,885E+00	
6,080E+00	5,598E+00	
6,160E+00	2,968E+00	
6,240E+00	4,571E+00	
6,320E+00	7,037E+00	
6,400E+00	9,760E+00	
6,480E+00	7,836E+00	
6,560E+00	1,168E+01	
6,640E+00	1,383E+01	
6,720E+00	2,545E+01	
6,800E+00	3,084E+01	
6,880E+00	3,680E+01	
6,960E+00	3,695E+01	
7,040E+00	3,895E+01	
7,120E+00	3,607E+01	
7,200E+00	3,595E+01	
7,280E+00	3,466E+01	
7,360E+00	2,860E+01	
7,440E+00	2,366E+01	
7,520E+00	2,126E+01	
7,600E+00	1,504E+01	
7,680E+00	1,505E+01	
7,760E+00	1,249E+01	
7,840E+00	1,587E+01	
7,920E+00	1,416E+01	
8,000E+00	1,497E+01	
8,080E+00	1,459E+01	
8,160E+00	1,689E+01	
8,240E+00	1,597E+01	
8,320E+00	1,689E+01	
8,400E+00	1,865E+01	
8,480E+00	1,830E+01	
8,560E+00	1,511E+01	
8,640E+00	1,665E+01	
8,720E+00	1,512E+01	
8,800E+00	1,431E+01	
8,880E+00	1,641E+01	
8,960E+00	1,780E+01	
9,040E+00	1,648E+01	
9,120E+00	1,846E+01	
9,200E+00	1,679E+01	
9,280E+00	1,320E+01	
9,360E+00	1,540E+01	
9,440E+00	2,298E+01	
9,520E+00	1,949E+01	
9,600E+00	2,543E+01	
9,680E+00	2,750E+01	
9,760E+00	2,865E+01	
9,840E+00	3,124E+01	
9,920E+00	3,674E+01	
1,000E+01	3,544E+01	
1,008E+01	4,098E+01	
1,016E+01	4,330E+01	
1,024E+01	4,440E+01	
1,032E+01	4,391E+01	
1,040E+01	6,849E+01	
1,048E+01	7,043E+01	
1,056E+01	7,467E+01	
1,064E+01	9,348E+01	
1,072E+01	6,403E+01	
1,080E+01	7,084E+01	
1,088E+01	9,908E+01	
1,096E+01	6,088E+01	
1,104E+01	7,098E+01	
1,112E+01	9,891E+01	
1,120E+01	8,240E+01	
1,128E+01	1,126E+02	
1,136E+01	9,737E+01	
1,144E+01	1,456E+02	
1,152E+01	1,963E+02	
1,160E+01	1,272E+02	
1,168E+01	1,634E+02	
1,176E+01	2,577E+02	
1,184E+01	1,216E+02	
1,192E+01	1,024E+02	
1,200E+01	1,467E+02	
1,208E+01	1,143E+02	
1,216E+01	9,120E+01	
1,224E+01	6,613E+01	
1,232E+01	9,666E+01	
1,240E+01	6,157E+01	
1,248E+01	5,564E+01	
1,256E+01	6,176E+01	
1,264E+01	6,875E+01	
1,272E+01	4,726E+01	
1,280E+01	4,855E+01	
1,288E+01	5,584E+01	
1,296E+01	4,841E+01	
1,304E+01	4,228E+01	
1,312E+01	4,252E+01	
1,320E+01	2,947E+01	
1,328E+01	2,667E+01	
1,336E+01	3,314E+01	
1,344E+01	3,328E+01	
1,352E+01	2,938E+01	
1,360E+01	3,023E+01	
1,368E+01	2,123E+01	
1,376E+01	1,462E+01	
1,384E+01	2,009E+01	
1,392E+01	1,706E+01	
1,400E+01	1,745E+01	
1,408E+01	1,246E+01	
1,416E+01	1,271E+01	
1,424E+01	6,549E+00	
1,432E+01	3,752E+00	
1,440E+01	7,524E+00	
1,448E+01	8,556E+00	
1,456E+01	7,037E+00	
1,464E+01	5,894E+00	
1,472E+01	3,170E+00	
1,480E+01	8,197E+00	
1,488E+01	9,188E+00	
1,496E+01	9,906E+00	
1,504E+01	8,123E+00	
1,512E+01	1,451E+00	
1,520E+01	2,716E+00	
1,528E+01	2,375E+00	
1,536E+01	4,670E+00	
1,544E+01	4,181E+00	
1,552E+01	6,728E+00	
1,560E+01	9,360E+00	
1,568E+01	4,719E+00	
1,576E+01	8,343E+00	
1,584E+01	2,254E+00	
1,592E+01	4,941E+00	
1,600E+01	1,279E+01	
1,608E+01	1,079E+01	
1,616E+01	9,831E+00	
1,624E+01	1,369E+01	
1,632E+01	1,606E+01	
1,640E+01	1,962E+01	
1,648E+01	1,703E+01	
1,656E+01	1,649E+01	
1,664E+01	1,645E+01	
1,672E+01	1,483E+01	
1,680E+01	1,393E+01	
1,688E+01	1,628E+01	
1,696E+01	2,511E+01	
1,704E+01	1,365E+01	
1,712E+01	1,100E+01	
1,720E+01	2,003E+01	
1,728E+01	1,839E+01	
1,736E+01	7,431E+00	
1,744E+01	1,732E+01	
1,752E+01	2,384E+01	
1,760E+01	1,421E+01	
1,768E+01	1,375E+01	
1,776E+01	1,906E+01	
1,784E+01	8,887E+00	
1,792E+01	6,574E+00	
1,800E+01	1,183E+01	
1,808E+01	1,368E+01	
1,816E+01	6,616E+00	
1,824E+01	2,427E+00	
1,832E+01	2,163E+00	
1,840E+01	3,400E+00	
1,848E+01	7,624E+00	
1,856E+01	8,813E+00	
1,864E+01	8,210E+00	
1,872E+01	1,150E+01	
1,880E+01	1,189E+01	
1,888E+01	1,491E+01	
1,896E+01	1,594E+01	
1,904E+01	1,499E+01	
1,912E+01	1,160E+01	
1,920E+01	1,221E+01	
1,928E+01	1,198E+01	
1,936E+01	1,245E+01	
1,944E+01	9,093E+00	
1,952E+01	4,518E+00	
1,960E+01	2,288E+00	
1,968E+01	2,664E+00	
1,976E+01	4,693E+00	
1,984E+01	9,177E+00	
1,992E+01	1,133E+01	
2,000E+01	1,043E+01	
2,008E+01	8,708E+00	
2,016E+01	5,123E+00	
2,024E+01	4,658E+00	
2,032E+01	6,137E+00	
2,040E+01	4,688E+00	
2,048E+01	1,915E+00	
2,056E+01	2,731E-01	
2,064E+01	2,901E+00	
2,072E+01	2,536E+00	
2,080E+01	5,774E+00	
2,088E+01	6,910E+00	
2,096E+01	9,329E+00	
2,104E+01	6,778E+00	
2,112E+01	5,452E+00	
2,120E+01	4,566E+00	
2,128E+01	3,787E+00	
2,136E+01	3,986E+00	
2,144E+01	8,599E+00	
2,152E+01	7,496E+00	
2,160E+01	4,333E+00	
2,168E+01	7,188E+00	
2,176E+01	1,064E+01	
2,184E+01	1,066E+01	
2,192E+01	1,443E+01	
2,200E+01	1,047E+01	
2,208E+01	1,167E+01	
2,216E+01	1,313E+01	
2,224E+01	1,208E+01	
2,232E+01	1,706E+01	
2,240E+01	1,556E+01	
2,248E+01	1,465E+01	
2,256E+01	1,463E+01	
2,264E+01	1,361E+01	
2,272E+01	1,581E+01	
2,280E+01	1,872E+01	
2,288E+01	1,812E+01	
2,296E+01	1,927E+01	
2,304E+01	1,027E+01	
2,312E+01	1,500E+01	
2,320E+01	1,327E+01	
2,328E+01	1,003E+01	
2,336E+01	1,287E+01	
2,344E+01	2,050E+01	
2,352E+01	1,610E+01	
2,360E+01	1,888E+01	
2,368E+01	2,182E+01	
2,376E+01	2,403E+01	
2,384E+01	1,866E+01	
2,392E+01	2,688E+01	
2,400E+01	2,273E+01	
2,408E+01	1,538E+01	
