[front_panel]
mode=T1 - R1
output=10 dB
gain=25 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
0,000E+00	4,429E+00	
1,221E-02	2,376E+00	
2,441E-02	1,943E+00	
3,662E-02	7,682E-01	
4,883E-02	1,260E+00	
6,104E-02	1,657E+00	
7,324E-02	9,871E-01	
8,545E-02	1,747E+00	
9,766E-02	2,161E+00	
1,099E-01	1,837E-01	
1,221E-01	1,246E+00	
1,343E-01	1,449E+00	
1,465E-01	1,062E+00	
1,587E-01	1,360E+00	
1,709E-01	2,004E+00	
1,831E-01	3,646E-01	
1,953E-01	1,668E+00	
2,075E-01	1,310E+00	
2,197E-01	8,607E-01	
2,319E-01	1,050E+00	
2,441E-01	1,730E+00	
2,563E-01	4,002E-01	
2,686E-01	1,499E+00	
2,808E-01	1,409E+00	
2,930E-01	3,678E-01	
3,052E-01	1,380E+00	
3,174E-01	1,105E+00	
3,296E-01	3,003E-01	
3,418E-01	9,654E-01	
3,540E-01	1,215E+00	
3,662E-01	4,266E-01	
3,784E-01	1,262E+00	
3,906E-01	4,329E-01	
4,028E-01	8,863E-01	
4,150E-01	3,699E-01	
4,272E-01	5,572E-01	
4,395E-01	4,594E-01	
4,517E-01	1,044E+00	
4,639E-01	5,183E-01	
4,761E-01	9,451E-01	
4,883E-01	1,003E+00	
5,005E-01	7,437E-02	
5,127E-01	1,024E+00	
5,249E-01	7,137E-01	
5,371E-01	6,451E-01	
5,493E-01	6,468E-01	
5,615E-01	1,088E+00	
5,737E-01	7,125E-01	
5,859E-01	1,945E+00	
5,981E-01	9,525E-01	
6,104E-01	1,322E+00	
6,226E-01	1,132E+00	
6,348E-01	5,767E-01	
6,470E-01	4,892E-01	
6,592E-01	2,221E+00	
6,714E-01	1,730E+00	
6,836E-01	2,323E+00	
6,958E-01	2,340E+00	
7,080E-01	6,425E-01	
7,202E-01	1,174E+00	
7,324E-01	1,942E+00	
7,446E-01	1,515E+00	
7,568E-01	2,695E+00	
7,690E-01	3,087E+00	
7,813E-01	1,331E+00	
7,935E-01	2,589E+00	
8,057E-01	9,105E-01	
8,179E-01	5,457E-01	
8,301E-01	2,562E+00	
8,423E-01	3,256E+00	
8,545E-01	2,315E+00	
8,667E-01	3,994E+00	
