[front_panel]
mode=T1 - R1
output=10 dB
gain=15 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
0,000E+00	3,816E+00	
1,221E-02	1,531E+00	
2,441E-02	2,095E+00	
3,662E-02	1,451E+00	
4,883E-02	1,227E+00	
6,104E-02	1,472E+00	
7,324E-02	9,344E-01	
8,545E-02	1,133E+00	
9,766E-02	8,990E-01	
1,099E-01	1,087E+00	
1,221E-01	1,021E+00	
1,343E-01	1,114E+00	
1,465E-01	1,137E+00	
1,587E-01	1,245E+00	
1,709E-01	9,427E-01	
1,831E-01	1,139E+00	
1,953E-01	6,740E-01	
2,075E-01	1,084E+00	
2,197E-01	9,289E-01	
2,319E-01	1,271E+00	
2,441E-01	9,914E-01	
2,563E-01	8,002E-01	
2,686E-01	7,908E-01	
2,808E-01	5,971E-01	
2,930E-01	5,603E-01	
3,052E-01	9,309E-01	
3,174E-01	8,972E-01	
3,296E-01	9,995E-01	
3,418E-01	7,292E-01	
3,540E-01	5,468E-01	
3,662E-01	5,619E-01	
3,784E-01	7,983E-01	
3,906E-01	4,621E-01	
4,028E-01	8,482E-01	
4,150E-01	7,538E-01	
4,272E-01	5,971E-01	
4,395E-01	6,730E-01	
4,517E-01	7,359E-01	
4,639E-01	3,244E-01	
4,761E-01	3,718E-01	
4,883E-01	6,292E-01	
5,005E-01	3,419E-01	
5,127E-01	7,073E-01	
5,249E-01	5,429E-01	
5,371E-01	4,605E-01	
5,493E-01	1,886E-01	
5,615E-01	6,496E-01	
5,737E-01	7,768E-01	
5,859E-01	7,522E-01	
5,981E-01	5,726E-01	
6,104E-01	2,449E-01	
6,226E-01	4,065E-01	
6,348E-01	5,407E-01	
6,470E-01	5,245E-01	
6,592E-01	5,565E-01	
6,714E-01	8,788E-01	
6,836E-01	5,052E-01	
6,958E-01	4,915E-01	
7,080E-01	4,008E-01	
7,202E-01	6,839E-01	
7,324E-01	9,506E-01	
7,446E-01	7,504E-01	
7,568E-01	9,530E-01	
7,690E-01	9,519E-01	
7,813E-01	9,814E-01	
7,935E-01	5,060E-01	
8,057E-01	6,848E-01	
8,179E-01	8,662E-01	
8,301E-01	1,205E+00	
8,423E-01	7,832E-01	
8,545E-01	1,157E+00	
8,667E-01	1,213E+00	
8,789E-01	1,340E+00	
8,911E-01	1,601E+00	
9,033E-01	1,052E+00	
9,155E-01	1,286E+00	
9,277E-01	1,925E+00	
9,399E-01	1,788E+00	
9,521E-01	1,306E+00	
9,644E-01	1,109E+00	
9,766E-01	1,622E+00	
9,888E-01	1,958E+00	
1,001E+00	1,780E+00	
1,013E+00	1,763E+00	
1,025E+00	2,007E+00	
1,038E+00	1,761E+00	
1,050E+00	2,110E+00	
1,062E+00	2,334E+00	
1,074E+00	2,663E+00	
1,086E+00	1,912E+00	
1,099E+00	1,911E+00	
1,111E+00	1,831E+00	
1,123E+00	2,840E+00	
1,135E+00	3,954E+00	
1,147E+00	2,880E+00	
1,160E+00	2,743E+00	
1,172E+00	1,907E+00	
1,184E+00	2,749E+00	
1,196E+00	3,608E+00	
1,208E+00	2,956E+00	
1,221E+00	4,150E+00	
1,233E+00	2,723E+00	
1,245E+00	3,314E+00	
1,257E+00	3,930E+00	
1,270E+00	4,012E+00	
1,282E+00	4,706E+00	
1,294E+00	3,564E+00	
1,306E+00	3,914E+00	
1,318E+00	5,169E+00	
1,331E+00	5,068E+00	
1,343E+00	3,986E+00	
1,355E+00	3,568E+00	
1,367E+00	4,929E+00	
1,379E+00	7,521E+00	
1,392E+00	5,898E+00	
1,404E+00	6,167E+00	
1,416E+00	4,360E+00	
1,428E+00	4,685E+00	
1,440E+00	5,186E+00	
1,453E+00	6,461E+00	
1,465E+00	6,151E+00	
1,477E+00	8,145E+00	
1,489E+00	9,762E+00	
1,501E+00	1,168E+01	
1,514E+00	1,555E+01	
1,526E+00	1,080E+01	
1,538E+00	2,850E+00	
1,550E+00	3,769E+00	
1,563E+00	6,318E+00	
1,575E+00	1,309E+01	
1,587E+00	1,799E+01	
1,599E+00	1,734E+01	
