[front_panel]
mode=T1 - R1
output=10 dB
gain=15 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [µs]	Amplitude	HF-filtered	Amplitude-filtered	
0,000E+00	4,744E-01	0,000E+00	0,000E+00	
4,000E-02	5,816E-01	0,000E+00	0,000E+00	
8,000E-02	6,916E-01	0,000E+00	0,000E+00	
1,200E-01	8,005E-01	0,000E+00	0,000E+00	
1,600E-01	9,045E-01	0,000E+00	0,000E+00	
2,000E-01	1,000E+00	0,000E+00	0,000E+00	
2,400E-01	1,084E+00	0,000E+00	0,000E+00	
2,800E-01	1,156E+00	0,000E+00	0,000E+00	
3,200E-01	1,213E+00	0,000E+00	0,000E+00	
3,600E-01	1,256E+00	0,000E+00	0,000E+00	
4,000E-01	1,286E+00	0,000E+00	0,000E+00	
4,400E-01	1,305E+00	0,000E+00	0,000E+00	
4,800E-01	1,314E+00	0,000E+00	0,000E+00	
5,200E-01	1,316E+00	0,000E+00	0,000E+00	
5,600E-01	1,314E+00	0,000E+00	0,000E+00	
6,000E-01	1,309E+00	0,000E+00	0,000E+00	
6,400E-01	1,303E+00	0,000E+00	0,000E+00	
6,800E-01	1,298E+00	0,000E+00	0,000E+00	
7,200E-01	1,296E+00	0,000E+00	0,000E+00	
7,600E-01	1,296E+00	0,000E+00	0,000E+00	
8,000E-01	1,297E+00	0,000E+00	0,000E+00	
8,400E-01	1,301E+00	0,000E+00	0,000E+00	
8,800E-01	1,305E+00	0,000E+00	0,000E+00	
9,200E-01	1,309E+00	0,000E+00	0,000E+00	
9,600E-01	1,311E+00	0,000E+00	0,000E+00	
1,000E+00	1,312E+00	0,000E+00	0,000E+00	
1,040E+00	1,312E+00	0,000E+00	0,000E+00	
1,080E+00	1,310E+00	0,000E+00	0,000E+00	
1,120E+00	1,306E+00	0,000E+00	0,000E+00	
1,160E+00	1,302E+00	0,000E+00	0,000E+00	
1,200E+00	1,298E+00	0,000E+00	0,000E+00	
1,240E+00	1,293E+00	0,000E+00	0,000E+00	
1,280E+00	1,289E+00	0,000E+00	0,000E+00	
1,320E+00	1,284E+00	0,000E+00	0,000E+00	
1,360E+00	1,280E+00	0,000E+00	0,000E+00	
1,400E+00	1,275E+00	0,000E+00	0,000E+00	
1,440E+00	1,269E+00	0,000E+00	0,000E+00	
1,480E+00	1,263E+00	0,000E+00	0,000E+00	
1,520E+00	1,256E+00	0,000E+00	0,000E+00	
1,560E+00	1,248E+00	0,000E+00	0,000E+00	
1,600E+00	1,240E+00	0,000E+00	0,000E+00	
1,640E+00	1,231E+00	0,000E+00	0,000E+00	
1,680E+00	1,222E+00	0,000E+00	0,000E+00	
1,720E+00	1,212E+00	0,000E+00	0,000E+00	
1,760E+00	1,202E+00	0,000E+00	0,000E+00	
1,800E+00	1,190E+00	0,000E+00	0,000E+00	
1,840E+00	1,177E+00	0,000E+00	0,000E+00	
1,880E+00	1,161E+00	0,000E+00	0,000E+00	
1,920E+00	1,143E+00	0,000E+00	0,000E+00	
1,960E+00	1,122E+00	0,000E+00	0,000E+00	
2,000E+00	1,097E+00	0,000E+00	0,000E+00	
2,040E+00	1,069E+00	0,000E+00	0,000E+00	
2,080E+00	1,036E+00	0,000E+00	0,000E+00	
2,120E+00	9,996E-01	0,000E+00	0,000E+00	
2,160E+00	9,591E-01	0,000E+00	0,000E+00	
2,200E+00	9,154E-01	0,000E+00	0,000E+00	
2,240E+00	8,689E-01	0,000E+00	0,000E+00	
2,280E+00	8,205E-01	0,000E+00	0,000E+00	
2,320E+00	7,712E-01	0,000E+00	0,000E+00	
2,360E+00	7,220E-01	0,000E+00	0,000E+00	
2,400E+00	6,740E-01	0,000E+00	0,000E+00	
2,440E+00	6,281E-01	0,000E+00	0,000E+00	
2,480E+00	5,854E-01	0,000E+00	0,000E+00	
2,520E+00	5,463E-01	0,000E+00	0,000E+00	
2,560E+00	5,114E-01	0,000E+00	0,000E+00	
2,600E+00	4,808E-01	0,000E+00	0,000E+00	
2,640E+00	4,543E-01	0,000E+00	0,000E+00	
2,680E+00	4,315E-01	0,000E+00	0,000E+00	
2,720E+00	4,117E-01	0,000E+00	0,000E+00	
2,760E+00	3,942E-01	0,000E+00	0,000E+00	
2,800E+00	3,783E-01	0,000E+00	0,000E+00	
2,840E+00	3,630E-01	0,000E+00	0,000E+00	
2,880E+00	3,478E-01	0,000E+00	0,000E+00	
2,920E+00	3,321E-01	0,000E+00	0,000E+00	
2,960E+00	3,158E-01	0,000E+00	0,000E+00	
3,000E+00	2,989E-01	0,000E+00	0,000E+00	
3,040E+00	2,813E-01	0,000E+00	0,000E+00	
3,080E+00	2,636E-01	0,000E+00	0,000E+00	
3,120E+00	2,461E-01	0,000E+00	0,000E+00	
3,160E+00	2,293E-01	0,000E+00	0,000E+00	
3,200E+00	2,135E-01	0,000E+00	0,000E+00	
3,240E+00	1,991E-01	0,000E+00	0,000E+00	
3,280E+00	1,862E-01	0,000E+00	0,000E+00	
3,320E+00	1,750E-01	0,000E+00	0,000E+00	
3,360E+00	1,654E-01	0,000E+00	0,000E+00	
3,400E+00	1,572E-01	0,000E+00	0,000E+00	
3,440E+00	1,500E-01	0,000E+00	0,000E+00	
3,480E+00	1,437E-01	0,000E+00	0,000E+00	
3,520E+00	1,379E-01	0,000E+00	0,000E+00	
3,560E+00	1,325E-01	0,000E+00	0,000E+00	
3,600E+00	1,271E-01	0,000E+00	0,000E+00	
3,640E+00	1,218E-01	0,000E+00	0,000E+00	
3,680E+00	1,166E-01	0,000E+00	0,000E+00	
3,720E+00	1,115E-01	0,000E+00	0,000E+00	
3,760E+00	1,067E-01	0,000E+00	0,000E+00	
3,800E+00	1,022E-01	0,000E+00	0,000E+00	
3,840E+00	9,819E-02	0,000E+00	0,000E+00	
3,880E+00	9,479E-02	0,000E+00	0,000E+00	
3,920E+00	9,198E-02	0,000E+00	0,000E+00	
3,960E+00	8,976E-02	0,000E+00	0,000E+00	
4,000E+00	8,802E-02	0,000E+00	0,000E+00	
4,040E+00	8,667E-02	0,000E+00	0,000E+00	
4,080E+00	8,554E-02	0,000E+00	0,000E+00	
4,120E+00	8,451E-02	0,000E+00	0,000E+00	
4,160E+00	8,344E-02	0,000E+00	0,000E+00	
4,200E+00	8,225E-02	0,000E+00	0,000E+00	
4,240E+00	8,089E-02	0,000E+00	0,000E+00	
4,280E+00	7,934E-02	0,000E+00	0,000E+00	
4,320E+00	7,765E-02	0,000E+00	0,000E+00	
4,360E+00	7,586E-02	0,000E+00	0,000E+00	
4,400E+00	7,403E-02	0,000E+00	0,000E+00	
4,440E+00	7,223E-02	0,000E+00	0,000E+00	
4,480E+00	7,048E-02	0,000E+00	0,000E+00	
4,520E+00	6,878E-02	0,000E+00	0,000E+00	
4,560E+00	6,711E-02	0,000E+00	0,000E+00	
4,600E+00	6,543E-02	0,000E+00	0,000E+00	
4,640E+00	6,368E-02	0,000E+00	0,000E+00	
4,680E+00	6,178E-02	0,000E+00	0,000E+00	
4,720E+00	5,972E-02	0,000E+00	0,000E+00	
4,760E+00	5,746E-02	0,000E+00	0,000E+00	
4,800E+00	5,504E-02	0,000E+00	0,000E+00	
4,840E+00	5,250E-02	0,000E+00	0,000E+00	
4,880E+00	4,994E-02	0,000E+00	0,000E+00	
4,920E+00	4,747E-02	0,000E+00	0,000E+00	
4,960E+00	4,517E-02	0,000E+00	0,000E+00	
5,000E+00	4,316E-02	0,000E+00	0,000E+00	
5,040E+00	4,149E-02	0,000E+00	0,000E+00	
5,080E+00	4,019E-02	0,000E+00	0,000E+00	
5,120E+00	3,923E-02	0,000E+00	0,000E+00	
5,160E+00	3,856E-02	0,000E+00	0,000E+00	
5,200E+00	3,809E-02	0,000E+00	0,000E+00	
5,240E+00	3,770E-02	0,000E+00	0,000E+00	
5,280E+00	3,729E-02	0,000E+00	0,000E+00	
5,320E+00	3,677E-02	0,000E+00	0,000E+00	
5,360E+00	3,608E-02	0,000E+00	0,000E+00	
5,400E+00	3,518E-02	0,000E+00	0,000E+00	
5,440E+00	3,410E-02	0,000E+00	0,000E+00	
5,480E+00	3,290E-02	0,000E+00	0,000E+00	
5,520E+00	3,167E-02	0,000E+00	0,000E+00	
5,560E+00	3,051E-02	0,000E+00	0,000E+00	
5,600E+00	2,952E-02	0,000E+00	0,000E+00	
5,640E+00	2,878E-02	0,000E+00	0,000E+00	
5,680E+00	2,837E-02	0,000E+00	0,000E+00	
5,720E+00	2,831E-02	0,000E+00	0,000E+00	
5,760E+00	2,859E-02	0,000E+00	0,000E+00	
5,800E+00	2,916E-02	0,000E+00	0,000E+00	
5,840E+00	2,998E-02	0,000E+00	0,000E+00	
5,880E+00	3,095E-02	0,000E+00	0,000E+00	
5,920E+00	3,203E-02	0,000E+00	0,000E+00	
5,960E+00	3,314E-02	0,000E+00	0,000E+00	
6,000E+00	3,426E-02	0,000E+00	0,000E+00	
6,040E+00	3,536E-02	0,000E+00	0,000E+00	
6,080E+00	3,646E-02	0,000E+00	0,000E+00	
6,120E+00	3,758E-02	0,000E+00	0,000E+00	
6,160E+00	3,873E-02	0,000E+00	0,000E+00	
6,200E+00	3,993E-02	0,000E+00	0,000E+00	
6,240E+00	4,119E-02	0,000E+00	0,000E+00	
6,280E+00	4,247E-02	0,000E+00	0,000E+00	
6,320E+00	4,374E-02	0,000E+00	0,000E+00	
6,360E+00	4,495E-02	0,000E+00	0,000E+00	
6,400E+00	4,601E-02	0,000E+00	0,000E+00	
6,440E+00	4,686E-02	0,000E+00	0,000E+00	
6,480E+00	4,745E-02	0,000E+00	0,000E+00	
6,520E+00	4,775E-02	0,000E+00	0,000E+00	
6,560E+00	4,777E-02	0,000E+00	0,000E+00	
6,600E+00	4,751E-02	0,000E+00	0,000E+00	
6,640E+00	4,705E-02	0,000E+00	0,000E+00	
6,680E+00	4,645E-02	0,000E+00	0,000E+00	
6,720E+00	4,578E-02	0,000E+00	0,000E+00	
6,760E+00	4,511E-02	0,000E+00	0,000E+00	
6,800E+00	4,449E-02	0,000E+00	0,000E+00	
6,840E+00	4,392E-02	0,000E+00	0,000E+00	
6,880E+00	4,340E-02	0,000E+00	0,000E+00	
