#Z�hlrohrwinkel	Rate bei 35kV mit Au
#2*theta/�	R(35kV)/Imp/s

20.0	23.0
20.2	23.0
20.4	20.0
20.6	21.0
20.8	21.0
21.0	22.0
21.2	22.0
21.4	21.0
21.6	20.0
21.7	22.0
22.0	21.0
22.2	20.0
22.4	21.0
22.6	19.0
22.8	16.0
23.0	17.0
23.2	20.0
23.4	18.0
23.6	15.0
23.8	17.0
24.0	16.0
24.2	16.0
24.4	17.0
24.6	16.0
24.8	15.0
25.0	17.0
25.2	14.0
25.4	14.0
25.6	16.0
25.8	15.0
26.0	15.0
26.2	15.0
26.4	23.0
26.6	35.0
26.8	39.0
27.0	43.0
27.2	42.0
27.4	40.0
27.6	38.0
27.8	37.0
28.0	35.0
28.2	33.0
28.4	34.0
28.6	30.0
28.8	30.0
29.0	29.0
29.2	28.0
29.4	27.0
29.6	28.0
29.8	25.0
30.0	24.0
30.2	22.0
30.4	23.0
30.6	23.0
30.8	22.0
31.0	21.0
31.2	22.0
31.4	21.0
31.6	19.0
31.8	18.0
32.0	20.0
