#Z�hlrohrwinkel	Rate bei 35kV mit Au
#2*theta/�	R(35kV)/Imp/s

8.0	51.0
8.4	39.0
8.8	36.0
9.2	38.0
9.6	35.0
10.0	36.0
10.4	30.0
10.8	38.0
11.2	36.0
11.6	35.0
12.0	37.0
12.4	33.0
12.8	34.0
13.2	36.0
13.6	34.0
14.0	42.0
14.4	35.0
14.8	36.0
15.2	34.0
15.6	37.0
16.0	36.0
16.4	31.0
16.7	37.0
17.2	32.0
17.6	32.0
18.0	35.0
18.4	33.0
18.8	35.0
19.2	34.0
19.6	39.0
20.0	31.0
20.4	38.0
20.8	35.0
21.2	33.0
21.6	35.0
22.0	33.0
22.4	30.0
22.8	34.0
23.2	36.0
23.6	36.0
24.0	36.0
24.4	35.0
24.8	39.0
25.2	29.0
25.6	36.0
26.0	30.0
26.4	34.0
26.8	29.0
27.2	29.0
27.6	29.0
28.0	29.0
28.4	33.0
28.8	31.0
29.2	31.0
29.6	30.0
30.0	27.0
30.4	28.0
30.8	27.0
31.2	28.0
31.6	28.0
32.0	28.0
32.4	27.0
32.8	25.0
33.2	28.0
33.6	24.0
34.0	24.0
34.4	22.0
34.8	26.0
35.2	24.0
35.5	29.0
36.0	27.0
36.4	26.0
36.8	25.0
37.2	26.0
37.5	24.0
38.0	21.0
38.4	27.0
38.8	28.0
39.2	31.0
39.5	35.0
40.0	153.0
40.4	29.0
40.8	28.0
41.2	23.0
41.5	29.0
42.0	24.0
42.4	26.0
42.8	35.0
43.2	35.0
43.6	35.0
44.0	47.0
44.4	242.0
44.8	156.0
45.2	24.0
45.5	26.0
46.0	21.0
46.4	22.0
46.8	20.0
47.2	20.0
47.6	18.0
48.0	17.0
48.4	15.0
48.8	13.0
49.2	16.0
49.6	16.0
50.0	15.0
50.4	16.0
50.8	15.0
51.2	20.0
51.6	14.0
52.0	14.0
