#Z�hlrohrwinkel	Rate bei 35kV mit Au
#2*theta/�	R(35kV)/Imp/s

26.0	43.0
26.2	44.0
26.4	44.0
26.6	40.0
26.8	40.0
27.0	38.0
27.2	37.0
27.4	38.0
27.6	34.0
27.8	35.0
28.0	33.0
28.2	31.0
28.4	31.0
28.6	32.0
28.8	32.0
29.0	30.0
29.2	29.0
29.4	30.0
29.6	29.0
29.8	31.0
30.0	31.0
30.2	29.0
30.4	31.0
30.6	28.0
30.8	27.0
31.0	28.0
31.2	28.0
31.4	28.0
31.6	28.0
31.8	29.0
32.0	28.0
32.2	33.0
32.4	41.0
32.5	45.0
32.8	54.0
33.0	56.0
33.2	57.0
33.4	54.0
33.6	54.0
33.8	52.0
34.0	51.0
34.2	50.0
34.4	49.0
34.5	47.0
34.8	46.0
35.0	47.0
35.2	45.0
35.4	44.0
35.5	42.0
35.8	43.0
36.0	42.0
36.2	42.0
36.4	39.0
36.5	41.0
36.8	39.0
37.0	37.0
37.2	36.0
37.4	34.0
37.5	35.0
37.8	33.0
38.0	31.0
