#Z�hlrohrwinkel	Rate bei 35kV mit Au
#2*theta/�	R(35kV)/Imp/s

24.0	26.0
24.1	24.0
24.2	25.0
24.3	26.0
24.4	25.0
24.5	27.0
24.6	31.0
24.7	36.0
24.8	41.0
24.9	60.0
25.0	70.0
25.1	80.0
25.2	94.0
25.3	101.0
25.4	132.0
25.5	147.0
25.6	163.0
25.7	169.0
25.8	178.0
25.9	183.0
26.0	180.0
26.1	181.0
26.2	172.0
26.3	167.0
26.4	158.0
26.5	159.0
26.6	141.0
26.7	127.0
26.8	109.0
26.9	95.0
27.0	80.0
27.1	70.0
27.2	66.0
27.3	57.0
27.4	48.0
27.5	45.0
27.6	36.0
27.7	36.0
27.8	31.0
27.9	27.0
28.0	25.0
28.1	23.0
28.2	23.0
28.3	23.0
28.4	25.0
28.5	23.0
28.6	22.0
28.7	20.0
28.8	23.0
28.9	20.0
29.0	20.0
29.1	24.0
29.2	21.0
29.3	21.0
29.4	20.0
29.5	21.0
29.6	22.0
29.7	19.0
29.8	20.0
29.9	22.0
30.0	20.0
