#Z�hlrohrwinkel	Rate bei 35kV mit Au
#2*theta/�	R(35kV)/Imp/s

20.0	39.0
20.2	37.0
20.4	38.0
20.6	32.0
20.8	35.0
21.0	35.0
21.2	34.0
21.4	35.0
21.6	35.0
21.7	31.0
22.0	34.0
22.2	31.0
22.4	31.0
22.6	30.0
22.8	30.0
23.0	28.0
23.2	27.0
23.4	29.0
23.6	28.0
23.8	28.0
24.0	27.0
24.2	27.0
24.4	29.0
24.6	31.0
24.8	28.0
25.0	28.0
25.2	32.0
25.4	33.0
25.6	34.0
25.8	33.0
26.0	34.0
26.2	33.0
26.4	29.0
26.6	30.0
26.8	28.0
27.0	27.0
27.2	26.0
27.4	25.0
27.6	25.0
27.8	22.0
28.0	22.0
28.2	23.0
28.4	20.0
28.6	22.0
28.8	23.0
29.0	24.0
29.2	29.0
29.4	33.0
29.6	35.0
29.8	38.0
30.0	36.0
30.2	36.0
30.4	36.0
30.6	34.0
30.8	34.0
31.0	33.0
31.2	32.0
31.4	31.0
31.6	32.0
31.8	31.0
32.0	30.0
32.2	29.0
32.4	27.0
32.5	28.0
32.8	25.0
33.0	26.0
33.2	25.0
33.4	22.0
33.6	22.0
33.8	21.0
34.0	23.0
34.2	19.0
34.4	20.0
34.5	19.0
34.8	20.0
35.0	20.0
35.2	18.0
35.4	19.0
35.5	17.0
35.8	18.0
36.0	17.0
