#Z�hlrohrwinkel	Rate bei 35kV mit Au
#2*theta/�	R(35kV)/Imp/s

16.0	32.0
16.2	30.0
16.4	27.0
16.6	28.0
16.7	28.0
17.0	26.0
17.2	27.0
17.4	33.0
17.6	27.0
17.7	27.0
18.0	31.0
18.2	28.0
18.4	27.0
18.6	28.0
18.8	24.0
19.0	27.0
19.2	26.0
19.4	24.0
19.6	26.0
19.8	26.0
20.0	24.0
20.2	27.0
20.4	29.0
20.6	28.0
20.8	29.0
21.0	30.0
21.2	26.0
21.4	25.0
21.6	27.0
21.7	30.0
22.0	57.0
22.2	71.0
22.4	94.0
22.6	97.0
22.8	95.0
23.0	97.0
23.2	92.0
23.4	92.0
23.6	92.0
23.8	87.0
24.0	87.0
24.2	82.0
24.4	81.0
24.6	76.0
24.8	75.0
25.0	80.0
25.2	75.0
25.4	78.0
25.6	73.0
25.8	79.0
26.0	70.0
26.2	74.0
26.4	72.0
26.6	70.0
26.8	67.0
27.0	65.0
27.2	56.0
27.4	52.0
27.6	52.0
27.8	50.0
28.0	52.0
