#Z�hlrohrwinkel	Rate bei 35kV mit Au
#2*theta/�	R(35kV)/Imp/s

30.0	70.0
30.2	70.0
30.4	68.0
30.6	70.0
30.8	72.0
31.0	63.0
31.2	71.0
31.4	64.0
31.6	69.0
31.8	66.0
32.0	59.0
32.2	63.0
32.4	61.0
32.5	61.0
32.8	59.0
33.0	58.0
33.2	56.0
33.4	57.0
33.6	54.0
33.8	53.0
34.0	54.0
34.2	56.0
34.4	53.0
34.5	51.0
34.8	52.0
35.0	45.0
35.2	52.0
35.4	47.0
35.5	48.0
35.8	44.0
36.0	48.0
36.2	46.0
36.4	46.0
36.5	42.0
36.8	47.0
37.0	46.0
37.2	56.0
37.4	66.0
37.5	70.0
37.8	83.0
38.0	84.0
38.2	84.0
38.4	81.0
38.6	82.0
38.8	77.0
39.0	75.0
39.2	78.0
39.4	73.0
39.5	73.0
39.8	80.0
40.0	111.0
40.2	249.0
40.4	840.0
40.5	889.0
40.8	801.0
41.0	690.0
41.2	480.0
41.4	140.0
41.5	118.0
41.8	104.0
42.0	103.0
