#Z�hlrohrwinkel	Rate bei 35kV mit Au
#2*theta/�	R(35kV)/Imp/s

12.0	57.0
12.2	58.0
12.4	60.0
12.6	61.0
12.8	61.0
13.0	63.0
13.2	65.0
13.4	69.0
13.6	68.0
13.8	67.0
14.0	75.0
14.2	70.0
14.4	71.0
14.6	76.0
14.8	77.0
15.0	74.0
15.2	77.0
15.4	77.0
15.6	77.0
15.8	80.0
16.0	76.0
16.2	79.0
16.4	74.0
16.6	76.0
16.7	77.0
17.0	74.0
17.2	79.0
17.4	76.0
17.6	79.0
17.7	72.0
18.0	70.0
18.2	74.0
18.4	68.0
18.6	67.0
18.8	71.0
19.0	70.0
19.2	67.0
19.4	74.0
19.6	97.0
19.8	122.0
20.0	159.0
20.2	174.0
20.4	169.0
20.6	167.0
20.8	177.0
21.0	173.0
21.2	182.0
21.4	175.0
21.6	180.0
21.7	176.0
22.0	183.0
22.2	178.0
22.4	170.0
22.6	165.0
22.8	166.0
23.0	164.0
23.2	173.0
23.4	157.0
23.6	157.0
23.8	152.0
24.0	151.0
